16:17:02.392 [main] INFO  com.datalathe.enzy.DatalatheJob - Log level set to: INFO
16:17:02.513 [main] INFO  com.datalathe.enzy.DatalatheJob - Staging data
16:17:06.810 [main] INFO  com.datalathe.enzy.DatalatheJob - Staged data
16:17:06.810 [main] INFO  com.datalathe.enzy.DatalatheJob - Executing queries
16:17:07.040 [main] INFO  com.datalathe.enzy.DatalatheJob - Printing results
16:17:07.040 [main] INFO  com.datalathe.enzy.DatalatheJob - Query 0 results:
16:17:07.041 [main] INFO  com.datalathe.enzy.DatalatheJob - id | companyId
16:17:07.041 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00001 | 172
16:17:07.041 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00002 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00003 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00004 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00005 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00006 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00007 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00008 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00009 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00010 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00011 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00012 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00013 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00014 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00015 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00016 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00017 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00018 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00019 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00020 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00021 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00022 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00023 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00024 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00025 | 172
16:17:07.042 [main] INFO  com.datalathe.enzy.DatalatheJob - obj00026 | 172
